F_val_m,sh_val,repeat_num,t_f
1.021,0,1,175
1.021,0,2,586
1.021,0,3,180
1.021,0,4,319
1.021,0,5,278
1.021,0,6,147
1.021,0,7,1040
1.021,0,8,100
1.021,0,9,373
1.021,0,10,308
1.021,0,11,322
1.021,0,12,82
1.021,0,13,83
1.021,0,14,325
1.021,0,15,365
1.021,0,16,222
1.021,0,17,77
1.021,0,18,328
1.021,0,19,121
1.021,0,20,783
1.021,0,21,63
1.021,0,22,174
1.021,0,23,68
1.021,0,24,134
1.021,0,25,89
1.021,0.05,1,34
1.021,0.05,2,279
1.021,0.05,3,420
1.021,0.05,4,242
1.021,0.05,5,191
1.021,0.05,6,45
1.021,0.05,7,222
1.021,0.05,8,203
1.021,0.05,9,467
1.021,0.05,10,89
1.021,0.05,11,299
1.021,0.05,12,650
1.021,0.05,13,471
1.021,0.05,14,334
1.021,0.05,15,1315
1.021,0.05,16,194
1.021,0.05,17,1097
1.021,0.05,18,218
1.021,0.05,19,41
1.021,0.05,20,315
1.021,0.05,21,1345
1.021,0.05,22,192
1.021,0.05,23,109
1.021,0.05,24,228
1.021,0.05,25,404
1.021,0.1,1,1308
1.021,0.1,2,374
1.021,0.1,3,104
1.021,0.1,4,644
1.021,0.1,5,444
1.021,0.1,6,1536
1.021,0.1,7,36
1.021,0.1,8,450
1.021,0.1,9,36
1.021,0.1,10,3133
1.021,0.1,11,266
1.021,0.1,12,338
1.021,0.1,13,635
1.021,0.1,14,180
1.021,0.1,15,828
1.021,0.1,16,339
1.021,0.1,17,1913
1.021,0.1,18,454
1.021,0.1,19,523
1.021,0.1,20,942
1.021,0.1,21,778
1.021,0.1,22,315
1.021,0.1,23,744
1.021,0.1,24,465
1.021,0.1,25,138
1.021,0.15000000000000002,1,3786
1.021,0.15000000000000002,2,443
1.021,0.15000000000000002,3,1472
1.021,0.15000000000000002,4,1877
1.021,0.15000000000000002,5,1566
1.021,0.15000000000000002,6,339
1.021,0.15000000000000002,7,43
1.021,0.15000000000000002,8,1617
1.021,0.15000000000000002,9,1765
1.021,0.15000000000000002,10,1610
1.021,0.15000000000000002,11,472
1.021,0.15000000000000002,12,2560
1.021,0.15000000000000002,13,1916
1.021,0.15000000000000002,14,5554
1.021,0.15000000000000002,15,2201
1.021,0.15000000000000002,16,942
1.021,0.15000000000000002,17,631
1.021,0.15000000000000002,18,2890
1.021,0.15000000000000002,19,155
1.021,0.15000000000000002,20,626
1.021,0.15000000000000002,21,3085
1.021,0.15000000000000002,22,49
1.021,0.15000000000000002,23,405
1.021,0.15000000000000002,24,4225
1.021,0.15000000000000002,25,810
1.021,0.2,1,130
1.021,0.2,2,11306
1.021,0.2,3,605
1.021,0.2,4,12020
1.021,0.2,5,3058
1.021,0.2,6,27490
1.021,0.2,7,9937
1.021,0.2,8,3262
1.021,0.2,9,15549
1.021,0.2,10,3024
1.021,0.2,11,15589
1.021,0.2,12,947
1.021,0.2,13,3086
1.021,0.2,14,1385
1.021,0.2,15,1031
1.021,0.2,16,679
1.021,0.2,17,29640
1.021,0.2,18,1037
1.021,0.2,19,13532
1.021,0.2,20,8478
1.021,0.2,21,19368
1.021,0.2,22,7960
1.021,0.2,23,1064
1.021,0.2,24,1601
1.021,0.2,25,1885
1.021,0.25,1,18101
1.021,0.25,2,34501
1.021,0.25,3,97800
1.021,0.25,4,5867
1.021,0.25,5,93008
1.021,0.25,6,68560
1.021,0.25,7,58386
1.021,0.25,8,209116
1.021,0.25,9,97388
1.021,0.25,10,14441
1.021,0.25,11,645
1.021,0.25,12,60310
1.021,0.25,13,124820
1.021,0.25,14,7853
1.021,0.25,15,70426
1.021,0.25,16,100577
1.021,0.25,17,25993
1.021,0.25,18,130888
1.021,0.25,19,19948
1.021,0.25,20,64
1.021,0.25,21,11693
1.021,0.25,22,77295
1.021,0.25,23,43097
1.021,0.25,24,31765
1.021,0.25,25,91075
1.021,0.30000000000000004,1,1189967
1.021,0.30000000000000004,2,2134817
1.021,0.30000000000000004,3,427239
1.021,0.30000000000000004,4,1087457
1.021,0.30000000000000004,5,392844
1.021,0.30000000000000004,6,442086
1.021,0.30000000000000004,7,488467
1.021,0.30000000000000004,8,858883
1.021,0.30000000000000004,9,155955
1.021,0.30000000000000004,10,429552
1.021,0.30000000000000004,11,1079560
1.021,0.30000000000000004,12,480789
1.021,0.30000000000000004,13,1571462
1.021,0.30000000000000004,14,1536529
1.021,0.30000000000000004,15,47413
1.021,0.30000000000000004,16,232799
1.021,0.30000000000000004,17,943743
1.021,0.30000000000000004,18,432516
1.021,0.30000000000000004,19,152170
1.021,0.30000000000000004,20,776403
1.021,0.30000000000000004,21,694288
1.021,0.30000000000000004,22,2252670
1.021,0.30000000000000004,23,1163826
1.021,0.30000000000000004,24,1187371
1.021,0.30000000000000004,25,433094
1.021,0.35,1,38214404
1.021,0.35,2,27231638
1.021,0.35,3,18271743
1.021,0.35,4,1514530
1.021,0.35,5,9691452
1.021,0.35,6,12007352
1.021,0.35,7,1783028
1.021,0.35,8,10133663
1.021,0.35,9,679872
1.021,0.35,10,1444697
1.021,0.35,11,23816429
1.021,0.35,12,18865484
1.021,0.35,13,12736966
1.021,0.35,14,2199861
1.021,0.35,15,1751954
1.021,0.35,16,34
1.021,0.35,17,599931
1.021,0.35,18,11083402
1.021,0.35,19,12364548
1.021,0.35,20,24502712
1.021,0.35,21,21174852
1.021,0.35,22,1448528
1.021,0.35,23,13290269
1.021,0.35,24,13474059
1.021,0.35,25,2960880
